txId,time_step,feature_001,feature_002,feature_003,feature_004,feature_005,feature_006,feature_007,feature_008,feature_009,feature_010,feature_011,feature_012,feature_013,feature_014,feature_015,feature_016,feature_017,feature_018,feature_019,feature_020,feature_021,feature_022,feature_023,feature_024,feature_025,feature_026,feature_027,feature_028,feature_029,feature_030,feature_031,feature_032,feature_033,feature_034,feature_035,feature_036,feature_037,feature_038,feature_039,feature_040,feature_041,feature_042,feature_043,feature_044,feature_045,feature_046,feature_047,feature_048,feature_049,feature_050,feature_051,feature_052,feature_053,feature_054,feature_055,feature_056,feature_057,feature_058,feature_059,feature_060,feature_061,feature_062,feature_063,feature_064,feature_065,feature_066,feature_067,feature_068,feature_069,feature_070,feature_071,feature_072,feature_073,feature_074,feature_075,feature_076,feature_077,feature_078,feature_079,feature_080,feature_081,feature_082,feature_083,feature_084,feature_085,feature_086,feature_087,feature_088,feature_089,feature_090,feature_091,feature_092,feature_093,feature_094,feature_095,feature_096,feature_097,feature_098,feature_099,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,feature_150,feature_151,feature_152,feature_153,feature_154,feature_155,feature_156,feature_157,feature_158,feature_159,feature_160,feature_161,feature_162,feature_163,feature_164,feature_165
synthetic_tx_0000,53,3.3874724,0.99551356,2.5271783,2.9711256,-0.3372154,-0.52829486,0.560302,-0.046357144,0.8587917,-1.6309443,1.7973008,-0.11929401,0.6881202,-0.15472785,-0.434567,0.39030206,0.9458058,-0.21004494,-0.15141103,0.69162583,-0.8506424,-1.6304137,0.48085907,-0.7800676,-2.1263013,-0.84194654,-0.48679617,-1.2841654,-1.6954381,0.080134585,1.0218731,-0.2458509,-0.76985055,0.074207574,0.25290036,-0.2947408,0.1741946,1.1802893,-0.22986643,-0.72862923,0.28429002,0.30890515,0.9251905,-1.3476797,-0.69769984,-0.7546434,-1.5379848,0.16855803,0.42553777,-0.7769352,1.4394639,0.8863106,0.70619947,0.49080312,1.0457063,-1.3997017,0.6336703,0.49433225,-2.0012043,0.46267864,-0.24727042,0.78661495,-0.4244737,-0.013645536,0.42960694,-1.0038296,0.7501784,-0.09295548,0.49902552,-0.5017898,0.435735,0.23277861,-0.07895853,0.6888975,1.3596066,1.5474664,-1.4931514,0.8228531,0.42842028,-0.06735034,-0.99999976,1.2658823,-1.1388959,0.4882478,1.1542401,-1.6040479,-0.27806023,-1.3717908,0.3420733,1.7188973,2.252873,-1.7796355,-0.58286697,0.7785192,1.5808729,0.39793095,-0.81986207,0.303069,-0.025455406,-0.71003705,-1.064988,0.43489975,-0.37375224,-0.079308674,-0.2150888,-0.46545613,-0.3301784,0.49753118,-0.19516924,-1.4253652,1.3272221,0.15519638,1.7125179,0.08158072,-0.7784574,-1.4156998,1.2975883,2.0484984,-0.76636493,-0.6049137,0.4635647,-0.85868204,-0.27614793,-0.39928403,0.247863,1.3352062,0.040622506,0.94554263,-0.42879903,0.3582312,-2.1977372,-1.5927578,0.88368315,-0.5902792,0.5737277,-0.15369882,0.6431418,0.9242032,0.2234506,-0.13356216,-0.7139391,-0.42594433,-0.48076773,-0.76060426,-0.49150854,-0.10961394,0.22643647,-0.61709714,-2.2386146,-0.029379891,-0.1172679,0.9899697,0.50312674,-0.6547216,-0.74666375,2.0841987,0.7684376,1.7679597,2.0616426,-0.5224912,0.40304726,0.43432635,0.3944415,0.55473834,0.22535218
synthetic_tx_0001,53,3.3874724,0.99551356,2.5271783,2.9711256,0.14408655,-0.46893704,0.60759187,0.9484194,0.36464435,0.27794722,0.122986995,-0.48568985,-0.1905992,-0.56408966,0.4441009,0.01130866,0.671796,-1.5020407,1.0345318,-0.7434953,-0.7159125,-0.21014282,-0.62413365,0.38967845,-0.6222255,-1.1040498,-0.8746493,1.4178917,0.07649072,-1.3845453,0.028659672,-1.6032466,1.8279063,-0.37863666,0.16183132,0.5080965,-0.52616364,0.34269366,1.1287224,0.3640718,0.2070282,1.1146724,0.11005995,0.34457394,-0.13940984,0.5098854,-0.84735304,0.89262456,-0.46657732,-1.1441959,0.3747254,1.7994472,1.0614128,-0.53911597,0.77360153,-0.48205063,-0.13688944,0.07450322,-2.634069,0.27636325,-1.1626501,-0.6801187,-1.4511955,-1.2394913,-1.0517231,1.0364096,2.0042427,-0.013849025,1.0933921,-0.25356644,-0.8218685,0.04931336,0.16882987,-0.44255784,0.33778906,0.49053037,-0.827041,-1.4078566,-0.22032352,-0.18715121,-0.3314433,0.9948235,1.5102568,-0.38707128,0.61324626,0.99251646,0.7601283,1.1567175,-0.32537958,0.8844202,2.2538617,0.78658277,-0.62755245,0.67245674,1.263623,0.34940338,-0.6185166,1.603745,-1.3131248,-0.23070799,-0.5898258,-1.2866849,0.23103936,0.3878125,-1.2168688,0.03355615,-0.30931598,-0.9773354,-0.34033647,0.2646048,0.63373905,-0.18253489,-0.27722216,0.51184374,-0.5436714,1.1538308,0.14702167,0.2061798,0.44139764,-0.9716454,-0.6286839,1.5978805,0.3548378,-0.32227108,0.42248124,-0.546996,0.33770177,-0.68131834,0.28582498,-1.7289258,1.3526986,-0.56476086,-1.7556285,-0.22572091,-0.3724114,-0.42526925,-1.4060148,0.46320084,2.1185687,-1.2878387,0.31103113,-0.23527537,-0.14337492,-1.0833462,-0.77023846,0.429934,-0.05691366,1.1781024,-0.98427296,0.23541102,2.4285703,-0.78834504,-0.921154,-0.05725245,-0.055499766,0.8739747,0.12310064,-0.78354377,0.17087679,1.6306468,1.3838028,-2.9712577,-0.16517344,-0.81619257,0.63184917
synthetic_tx_0002,51,3.3874724,0.99551356,2.5271783,2.9711256,0.21273527,-0.045116443,0.33783367,1.4897231,0.61916167,-0.31082505,1.4661379,0.18159129,-0.10023298,-0.9012317,-0.6486468,-0.5374847,-3.1288931,1.1889454,0.66834134,-0.20009565,1.0469694,0.47514534,0.4538624,-2.9745908,-0.24106158,0.53950095,1.6434789,1.987721,1.6695316,-1.3773437,-2.4363496,0.5787587,0.021026777,0.2111797,-0.0690602,0.19988847,-0.54371274,0.5093255,-0.49833062,0.26377395,0.3839552,-0.110049486,0.24554875,-0.020843241,0.7852378,0.39800024,-0.50390834,-0.6088428,1.4755305,-0.1118573,1.0285107,0.43705654,-0.5598208,-0.80106944,0.16314904,0.26111004,0.63412356,-1.0350612,-0.6502066,-0.06707655,1.9274608,-2.3291957,0.44640008,-0.44055942,0.5315697,-0.54313993,0.47521502,1.5630049,0.36187968,0.41776,0.13651842,-0.31345022,0.20751528,-0.20756647,-0.85093635,-0.039494056,-0.2303862,0.7003021,-0.051677503,-0.5125988,1.5174426,0.99596924,1.106002,0.5244871,-0.11221552,-0.39746648,-0.2543686,1.0496466,0.20279536,-1.5101383,0.05003793,-1.4198073,0.15367585,-1.3324512,-1.2647451,0.116722055,-0.08396476,-1.7418664,0.77320373,0.89424586,-1.5590755,1.9949511,-1.0343403,-0.504297,-0.16972171,-0.5078711,0.35228875,0.15896112,-0.35855687,-0.271809,-1.5021325,-0.65789783,0.58221614,-1.7956316,-0.7548818,0.1452825,1.0277654,1.0606394,-0.4438045,-0.68827873,0.3415821,-0.3722581,-0.31724495,1.2390307,1.997003,0.3454746,-0.2075614,0.5886636,-1.9358975,-0.020805944,-1.0948365,2.619524,0.79961985,0.13774647,-0.19666623,-2.282898,0.13700464,1.8336625,-1.045846,0.65284765,0.6917614,-0.7959053,0.22498855,0.4152192,-0.1331829,-0.08090169,0.750435,-1.7100267,-0.16297957,1.1794581,-1.5075377,0.90162826,-0.4543676,-2.0660942,-0.11776153,-1.0102737,0.3183125,-1.1930591,0.9978101,-0.47312495,0.37106162,-0.6714771,-0.30944887,1.1834713,0.23814452
synthetic_tx_0003,54,-0.4274958,-0.57924205,0.7713605,0.7240215,-0.3696377,0.23621671,-0.98968744,-1.136208,-0.9151518,0.31082162,0.35352206,-0.795921,0.7478152,0.8955364,0.197736,0.8758885,-0.30681294,-0.10735156,0.56164294,-0.021520756,0.7973465,-1.3481635,1.669348,-0.9147237,-0.16473013,-1.420171,0.6082634,1.3767632,1.2604369,1.0492393,-1.7206321,-0.8092399,-0.48165134,-0.23877488,0.40773234,0.16632353,-0.0256403,0.55390793,-1.0700511,-0.8095185,-0.8118516,0.59612936,0.26709816,0.59686303,1.1183778,-1.2012229,-0.5154777,0.19152467,-1.1949122,-0.561279,1.0516974,1.1806003,1.1836369,0.08810154,-0.18763,1.1213663,-0.396503,0.27794448,1.5610349,-0.39400092,-0.6703476,0.0022386722,0.60434365,0.3959603,0.21423021,0.71371204,-1.8323238,-0.8410955,0.17248398,-0.8934149,-0.58265316,-0.49781045,-0.3730193,-0.17569838,-1.0760087,0.1976725,1.5737933,-0.15145001,1.1937202,0.3234267,-1.1156766,-0.2539783,-0.8906785,0.6671128,-1.0483491,1.3825648,0.622168,-2.136869,0.91149914,1.7605273,-0.7524779,0.96707493,-1.7992446,0.2789463,-1.6625212,0.45478055,-1.9676723,-2.7556298,0.40550435,0.9788327,-0.9731689,0.91721207,-0.50456595,-0.32355446,0.6721751,0.3088123,-0.6164802,0.1927364,-0.039122984,-1.4101332,1.6053816,1.4693491,-1.2397574,1.8506528,-0.29321447,-0.15825237,1.4734347,0.15235053,0.24838121,1.3310128,1.042591,0.93614984,-1.4529879,-1.7999107,1.3388221,-1.0784229,0.18703869,-1.100358,-0.18624404,-1.4014133,1.6589651,-1.1198571,-0.13545308,-0.1902489,1.1967682,-1.5202651,-0.4826318,-0.21173762,-0.13067184,0.44376397,-0.48189762,0.014049963,-0.42455012,-0.0043888832,-0.2860683,-0.65968597,-0.046302807,0.02188916,2.0728211,-0.47890073,-0.040249605,1.3538548,-2.049983,-1.734391,-1.2197256,-0.12041261,2.5008352,0.34829333,1.153367,-0.15122007,-2.7488444,-2.4788332,0.7605425,0.20930195,-1.2262403
synthetic_tx_0004,51,1.2719219,-0.6857122,0.74682826,1.4361858,-0.8670917,-1.1043682,0.82643545,-1.2276489,0.98847735,-1.0555962,0.9349552,0.07914537,-0.46962154,-1.0201458,0.27180916,-1.5981792,-0.29397184,-0.43219012,0.79585487,-1.2301185,1.7079064,-0.33323613,-1.2868562,1.7215174,1.8772707,-0.1992874,-0.9210741,0.02012004,-0.770626,-0.34396896,1.760667,0.3955219,0.14180805,0.06496282,-0.04317163,0.79162997,0.29168513,-0.41300818,0.122206144,2.023932,0.3502385,-0.18887599,1.751594,0.0032089956,-1.1524394,0.54668224,-0.8111429,-0.51015794,0.2515553,-0.13813022,-0.80305815,-0.552935,-0.5909148,1.3490862,-0.7253043,-0.6054222,2.1210415,-0.45170015,1.7500753,1.6239804,-0.1325293,-1.3961616,0.460187,0.5516262,1.149419,0.13284798,1.4620783,1.3901494,-1.0350841,1.3766346,0.05333369,-0.2390747,-0.13482067,2.017761,1.0653698,-1.5577404,0.061081354,-0.14409956,-0.17715707,-0.49595052,-1.459643,0.8687014,-0.85330445,-0.34559572,-0.55425286,-0.7129976,0.7908754,0.44462034,-0.6256633,-0.93049216,-0.40954304,0.9489567,0.11396174,0.2578374,-0.3282127,-0.23308943,0.2407836,-1.931509,1.6752311,-1.1058164,-0.9550731,1.4707712,-0.43044227,0.06380092,-0.59840393,-0.5385242,-0.07362921,0.492224,-0.40172744,1.3552387,-1.1158434,-1.0155882,0.16716014,0.015641896,0.30192703,-0.72460437,-1.0086426,-1.5433539,-1.1058607,-0.98858225,-1.22922,0.3272608,-0.6857817,-2.276395,2.923956,-0.9687391,-1.4390794,1.2749408,1.1991607,-1.2619182,-1.5179286,-1.099181,1.2540425,-0.31272247,-0.8079165,-0.5511637,0.5450763,-1.5248098,-0.79499966,-1.3915043,2.1259394,0.7293231,0.23263296,-0.28905228,0.06569193,-2.072916,0.25067976,-1.5239813,-1.6222829,-0.707974,-0.6624358,0.49949497,0.62118244,0.23518501,-0.97110426,0.6994798,-0.13472338,1.1259767,-0.94163746,-1.7341039,-0.55057484,2.2137659,0.32215965,-0.15756057,0.88469464
synthetic_tx_0005,53,0.5818201,0.055196125,-0.8255296,0.07319844,0.22932994,-0.6426475,-1.076091,0.17539942,1.1086484,0.57011503,0.5786402,0.50715077,2.6679897,0.29723728,1.1932918,1.6513631,0.07670414,0.32581297,1.2126317,1.6844081,0.32124743,0.39429307,0.13018422,-1.4308517,1.2680509,-0.26570678,-1.7698677,-0.15265824,-1.9659061,-1.1864831,0.042857833,-0.9475205,1.0954497,-0.3643269,0.081784226,0.52774066,0.49820384,1.0529424,0.2757826,0.040889148,-0.07036942,1.3425205,-0.59277916,0.5469059,-0.09496326,0.18178383,-0.24701826,2.3657382,-0.5887074,0.26953658,0.29295915,0.67382514,0.5302159,0.5293424,1.0856633,-1.568315,0.015305239,-0.9980459,0.3164003,-1.356699,-1.0665625,-0.036315937,1.408073,0.48397276,0.39098778,1.7443775,-1.0483161,-2.0508869,-0.39671013,-0.25450903,0.5036182,0.8563088,-0.5312141,2.6720865,1.6992853,0.73313814,0.34092245,2.294343,0.07802362,-0.4414653,0.18545146,-1.3574473,0.41097888,-0.10155509,0.29538,0.4133375,-1.0367872,1.4601717,-0.9697817,1.0595491,-1.5946273,0.3713127,-0.81215227,0.06322802,-0.637014,-2.0084393,-1.2094578,0.08029286,0.6593021,-1.5574409,-1.9748179,-0.9199008,-0.708083,-0.6353905,-0.8219775,0.10346251,0.23079926,0.28442663,-0.40839505,0.09408127,-0.17407244,-1.6434759,0.5452629,0.12471505,-0.78607994,1.4044406,0.7643715,0.6736898,1.0397161,0.6294333,-1.0811722,-0.38308316,1.0661288,-0.8621816,0.08425813,0.5205092,1.701608,1.3504231,0.93976176,-0.18938546,0.9413679,0.5927429,-0.16430347,1.3618934,0.5022764,-1.0486143,0.6075447,-0.24834488,-0.07502593,-1.5184371,-0.030101223,-0.51775044,-0.7152203,-1.1246995,0.75625443,-0.15504003,0.22376783,0.7081924,-0.37372053,0.6100192,-1.6085892,0.1457128,-0.44096714,0.47809565,0.18351199,-1.4300272,-1.906794,-1.0293515,0.69776744,0.25720963,0.43212435,-2.160947,-2.190673,-0.5658015,-0.28506148
synthetic_tx_0006,52,-0.6540624,0.018038804,-0.49300724,-1.172085,-0.991628,0.14178874,0.0831529,-0.0619883,2.578168,-0.22934069,0.15802486,-1.0538689,-0.3897982,0.6017003,0.6520149,-0.13172415,0.46388155,0.08723454,-2.1201577,-3.232255,2.299803,0.8989043,-0.04000175,-2.0784802,-1.4057982,1.3847629,-2.866573,-0.34701335,1.0269629,0.20978849,0.8626942,-0.14130472,2.44719,-0.26089254,-0.54117984,0.25201678,0.48489976,-0.059037432,1.1872041,-0.48752,-1.0827962,1.6324668,1.3335781,1.593876,-0.46457303,-1.027374,-1.0460033,-0.21350552,0.47271535,0.52563685,-1.5031314,0.22926208,0.058418006,0.14099213,0.011233645,-0.21829934,0.61210304,0.10503945,0.29430476,-0.78144234,0.51187587,-0.1086209,-2.0866396,0.39694297,-0.2697034,1.1571133,-0.1435081,-0.08381014,0.22054818,-0.010861568,-0.2073468,-0.7336999,0.72388065,-1.669597,-0.3491769,0.560421,0.33924255,0.52428967,0.7158897,1.3200053,0.3329678,2.9221606,-0.91868097,0.18606058,-0.3375504,-0.52628684,0.3247964,1.5974162,-0.6636543,-0.6785498,0.86550903,0.5284765,1.9352337,1.137476,0.22999525,-0.29952133,0.23937234,-0.19002691,-1.4335476,-0.5663564,-0.69497114,-0.2400461,-0.8628483,1.8099077,0.75790673,0.122198254,-0.3766225,-0.55982834,-0.2220634,0.245277,-0.3399121,-0.51016515,0.60652834,0.33152905,-1.2684817,-0.41744837,-0.6422639,0.11470859,-1.0735238,-0.18608145,0.5442674,0.03594501,-0.9461374,-0.70468926,0.16890898,0.6048187,0.98456657,-0.14683391,-1.3502942,1.5600234,0.29545864,0.44353124,0.3392045,-1.0354837,-0.32097915,-0.3522414,0.40260172,0.08798109,-2.784322,-0.26182863,0.3258106,0.49172062,0.11374367,0.95255196,0.41907257,1.2975473,0.901693,-1.5660577,0.6127166,0.691408,-0.8289557,0.5114399,0.34952122,-0.4793971,-0.13571528,-0.2750673,0.22694455,-0.45608672,0.49962914,-1.2073634,-0.33508518,-1.8178076,-0.43705913,0.5305842,0.050797235
synthetic_tx_0007,51,-0.10792151,-0.090203725,1.1621624,-1.0987496,1.00855,-1.5056027,-0.4448843,0.20333374,-0.9438996,0.17998263,0.84532434,-1.2635432,-0.09998006,-0.42833504,-2.2229607,-0.15851164,-0.88182926,1.5586499,-0.975167,1.6961087,-0.5170383,2.0930073,0.6473599,0.5876035,0.9195064,0.91929823,1.4318185,1.8716795,-0.37432247,-1.4850208,-2.9660857,-0.40400094,0.772341,0.07263485,0.022996841,-0.34249967,-0.24175604,-0.3159589,0.44250962,-1.539859,0.62431365,-1.6505283,-0.16731578,-0.66904527,-0.39284554,-0.9349429,-1.0341084,-0.22301571,-0.96978146,2.556894,-0.4457214,-0.6689473,-0.55061656,-1.1702002,-2.5650847,-0.28165,0.30970854,-1.23449,0.032959357,-1.4121556,-0.0035442982,0.36054832,0.48499286,0.35112453,-0.78522176,1.0923983,-0.4887872,0.3503,0.70133114,-0.30016404,-0.5621595,0.23273376,-0.45547372,-0.94507056,-1.1705954,0.71718913,-0.17854744,-2.1458018,0.6750172,2.1362479,1.8599207,-0.57601094,0.040346134,0.42812714,0.7792176,0.056527495,-1.0976503,0.83191943,0.72259384,-1.357135,-0.3114839,0.24462864,-0.024692472,0.5681871,0.7854214,0.49955115,-0.13677114,-1.4272977,0.62281734,0.3699445,0.7200264,-0.036087506,-0.6097378,1.5388889,1.5319715,-0.03881977,0.12326157,-0.44205767,0.026670441,-0.8298172,-0.154629,-0.46246284,-0.7861877,-2.228971,-1.1336852,0.31409535,-0.07187397,-0.36193407,0.3294495,0.5770469,0.66202337,-0.84987295,0.012120057,-0.39916494,-1.0206017,-1.7781671,-0.11767176,-0.91076714,2.1967711,-0.12703586,-0.25619003,-0.45653638,2.0639021,-0.95689905,-0.18006574,-1.0790402,-0.57233685,-0.03737275,0.2708614,-1.4404348,-0.06032084,0.6302664,-0.49986887,-0.31785923,-0.6560655,-2.593767,-0.13803148,0.7448647,-0.75774026,-1.9512429,-0.09435129,0.007257049,0.8930644,0.8547401,-0.30231896,0.395427,-1.8794931,1.0437915,0.12902933,0.6525133,1.1337688,-0.36707214,-0.18464844,-0.8323305,-1.9854866
synthetic_tx_0008,54,-0.15100013,-0.065071106,-1.3878164,0.68635345,0.093445964,0.4279719,-0.75423735,-2.0076845,0.8746186,0.5230882,-0.12669815,-0.47558382,-0.32530457,-0.17453235,-0.6026343,-1.7123865,0.8813142,-1.712121,-0.37595713,-0.30843416,0.25319803,-1.7551804,1.3984448,0.81384766,0.862513,1.2788259,-0.84025174,-3.3932388,0.39473268,1.617789,1.3060877,-0.56636566,-0.11059115,0.048666373,-0.7142494,-0.6510719,-0.24289827,1.7829667,-0.73784924,1.3007559,-0.017668845,-1.9055476,1.894806,-1.023871,0.636543,1.4335946,-0.49339202,-1.3082541,0.8686279,0.062463928,-1.2870603,-1.108812,-0.37445718,1.122113,-0.2669456,0.67705214,1.7183594,1.03964,1.6903718,1.5234873,-1.8427552,1.224398,0.33674812,-0.100497715,-1.214568,-1.8582907,-1.2584214,-0.010039299,-1.1547947,-0.78541946,-0.2785616,0.2574953,-0.12550469,-0.1409403,1.4305443,-0.28468186,0.5448672,-1.0112983,0.29994038,0.15076083,0.20831303,-0.46481282,-0.933922,-0.28284577,-0.43365934,1.086997,0.9591217,-1.2568878,0.74601257,-0.42944184,0.58189,-0.49089357,-1.4745139,1.1246239,0.45288023,-1.1323882,-2.0816472,-0.5648027,-1.2421982,-0.81860566,-0.16880405,1.6129779,-0.81474257,1.4785722,1.2540513,-0.2405021,-0.7815806,0.3301526,0.038150072,2.3396702,1.4238224,0.39049792,1.3099595,-1.0881474,-0.16114892,-0.2623264,1.7115769,0.42954236,-2.7473006,1.2045424,-0.78855634,0.82335204,-0.48426896,0.2927597,0.7779497,0.27327642,-1.0759703,1.4517038,0.42383912,-0.0039111055,0.72814006,-0.5728667,2.1112921,0.23690937,0.3769625,-0.27782953,-1.1985402,-1.2658223,-0.34499803,0.34352526,1.3269652,0.11847021,-0.76938975,0.032201,0.15228553,0.97973114,0.32550195,-1.4022359,0.9560745,-0.7164712,0.23102114,-1.5459834,0.70120716,-0.77479154,1.1107852,1.8481727,1.212831,-1.1706507,-0.95020497,-0.5439949,0.7295977,0.334525,0.08838177,0.34644765,0.6072173
synthetic_tx_0009,50,0.7672549,0.51630306,-0.37361923,0.21495646,-2.0884137,-1.303982,-0.6505101,-1.3161362,0.27946746,0.92802995,-0.46508965,-0.51450664,-0.5420904,0.15988438,-0.6154878,0.3656809,0.36341178,0.4242893,0.8996229,0.047966875,0.15758124,1.9041243,-0.023958942,1.0090771,0.08152191,-0.47574523,-0.47573212,-0.88206655,0.03854632,-0.70007974,-0.45452806,1.2435813,-0.14540547,0.2530123,0.0798916,0.809613,-0.23212007,0.16794786,2.9748788,0.6688864,0.8665854,0.2888244,0.7123157,-1.2241039,-0.9000203,0.33109316,0.6828772,-0.42150033,-0.19747676,-0.39038417,-0.20992598,-1.2421103,-1.4919949,-0.06248343,-1.8098637,-1.0415639,-0.7089867,-0.8702549,0.2933627,-0.5057474,-0.066729955,-1.0073196,-0.7431049,0.4045526,0.4293274,-0.53679526,0.44785196,0.1738998,0.14441864,1.511279,-0.1990213,0.14699958,0.1481561,-0.26554975,-1.2591679,0.56689596,0.19913483,0.0045345672,-0.02065804,0.0151995355,-0.92118865,0.25991604,-1.6526037,-0.074545905,-1.3927352,-0.37186745,0.71815836,-0.2929211,-0.4686278,0.59049463,-0.24670194,-0.4659705,-0.45141605,1.6175053,0.61392456,0.40514773,-1.3670295,0.58337325,-1.4149746,-0.2844146,-1.3543017,2.077445,-1.7332911,1.252062,0.80668616,-0.61079806,-0.25913197,0.5818566,0.17366159,-1.7024657,-0.5737614,-1.4793588,-1.3684205,-0.7277542,1.3220371,0.07077511,-0.28121567,-0.3539172,0.49621755,0.53477985,-0.8576688,1.4673114,-1.1887506,-0.38956288,0.47452396,1.9932315,-0.4607316,0.22922777,1.2731656,0.6107242,1.0775671,1.0656947,0.21630983,0.56004304,0.84392965,-0.5960672,0.8181879,-2.260648,-1.2325531,1.3405443,0.33504677,-0.4156599,-0.08358358,0.25766635,-0.52663445,0.6680224,-0.20161676,-0.47052157,-0.39627025,1.1719308,-1.4517319,-0.46709344,0.5230782,-1.2823002,-1.6835015,0.52237535,-0.07407086,-0.24519032,0.04020686,-0.6579121,3.12891,-1.1480135,-0.4496102,-1.4061122,-0.43364245
