name,id,region,adminregion,incomeLevel,lendingType,capitalCity
Aruba,ABW,Latin America & Caribbean ,,High income,Not classified,Oranjestad
Afghanistan,AFG,South Asia,South Asia,Low income,IDA,Kabul
Angola,AGO,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Luanda
Albania,ALB,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane
Andorra,AND,Europe & Central Asia,,High income,Not classified,Andorra la Vella
United Arab Emirates,ARE,Middle East & North Africa,,High income,Not classified,Abu Dhabi
Argentina,ARG,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires
Armenia,ARM,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan
American Samoa,ASM,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,Not classified,Pago Pago
Antigua and Barbuda,ATG,Latin America & Caribbean ,,High income,IBRD,Saint John's
Australia,AUS,East Asia & Pacific,,High income,Not classified,Canberra
Austria,AUT,Europe & Central Asia,,High income,Not classified,Vienna
Azerbaijan,AZE,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Baku
Burundi,BDI,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bujumbura
Belgium,BEL,Europe & Central Asia,,High income,Not classified,Brussels
Benin,BEN,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Porto-Novo
Burkina Faso,BFA,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Ouagadougou
Bangladesh,BGD,South Asia,South Asia,Lower middle income,IDA,Dhaka
Bulgaria,BGR,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sofia
Bahrain,BHR,Middle East & North Africa,,High income,Not classified,Manama
"Bahamas, The",BHS,Latin America & Caribbean ,,High income,Not classified,Nassau
Bosnia and Herzegovina,BIH,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sarajevo
Belarus,BLR,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Minsk
Belize,BLZ,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Belmopan
Bermuda,BMU,North America,,High income,Not classified,Hamilton
Bolivia,BOL,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,La Paz
Brazil,BRA,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Brasilia
Barbados,BRB,Latin America & Caribbean ,,High income,Not classified,Bridgetown
Brunei Darussalam,BRN,East Asia & Pacific,,High income,Not classified,Bandar Seri Begawan
Bhutan,BTN,South Asia,South Asia,Lower middle income,IDA,Thimphu
Botswana,BWA,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Gaborone
Central African Republic,CAF,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bangui
Canada,CAN,North America,,High income,Not classified,Ottawa
Switzerland,CHE,Europe & Central Asia,,High income,Not classified,Bern
Chile,CHL,Latin America & Caribbean ,,High income,IBRD,Santiago
China,CHN,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Beijing
Cote d'Ivoire,CIV,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Yamoussoukro
Cameroon,CMR,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Yaounde
"Congo, Dem. Rep.",COD,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kinshasa
"Congo, Rep.",COG,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Brazzaville
Colombia,COL,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Bogota
Comoros,COM,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Moroni
Cabo Verde,CPV,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Praia
Costa Rica,CRI,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,San Jose
Cuba,CUB,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Not classified,Havana
Curacao,CUW,Latin America & Caribbean ,,High income,Not classified,Willemstad
Cayman Islands,CYM,Latin America & Caribbean ,,High income,Not classified,George Town
Cyprus,CYP,Europe & Central Asia,,High income,Not classified,Nicosia
Czechia,CZE,Europe & Central Asia,,High income,Not classified,Prague
Germany,DEU,Europe & Central Asia,,High income,Not classified,Berlin
