country,indicator,value,scale
Aruba,GDP (current US$),,trillion
Afghanistan,GDP (current US$),,trillion
Angola,GDP (current US$),0.0725469857085707,trillion
Albania,GDP (current US$),0.0182600434998068,trillion
Andorra,GDP (current US$),0.0033299107237607798,trillion
United Arab Emirates,GDP (current US$),,trillion
Argentina,GDP (current US$),0.491492700657012,trillion
Armenia,GDP (current US$),0.0138611838735931,trillion
American Samoa,GDP (current US$),,trillion
Antigua and Barbuda,GDP (current US$),0.00147112592592593,trillion
Australia,GDP (current US$),1.54265989999254,trillion
Austria,GDP (current US$),0.477082467454295,trillion
Azerbaijan,GDP (current US$),0.0546221764705882,trillion
Burundi,GDP (current US$),0.0029020293858259202,trillion
Belgium,GDP (current US$),0.59987902537751,trillion
Benin,GDP (current US$),0.0177856400791191,trillion
Burkina Faso,GDP (current US$),0.0197376151143661,trillion
Bangladesh,GDP (current US$),0.416264942893326,trillion
Bulgaria,GDP (current US$),0.08027111942610761,trillion
Bahrain,GDP (current US$),0.0388686630319149,trillion
"Bahamas, The",GDP (current US$),0.0112086,trillion
Bosnia and Herzegovina,GDP (current US$),0.022571512867281603,trillion
Belarus,GDP (current US$),0.06821881648412259,trillion
Belize,GDP (current US$),0.00178992326403,trillion
Bermuda,GDP (current US$),0.0070809,trillion
Bolivia,GDP (current US$),0.0404082085238784,trillion
Brazil,GDP (current US$),1.6089812208121999,trillion
Barbados,GDP (current US$),0.0049008,trillion
Brunei Darussalam,GDP (current US$),0.01400656957568,trillion
Bhutan,GDP (current US$),,trillion
Botswana,GDP (current US$),0.0176138464729916,trillion
Central African Republic,GDP (current US$),0.0025164982990121196,trillion
Canada,GDP (current US$),1.99076160966523,trillion
Switzerland,GDP (current US$),0.8128669288674699,trillion
Chile,GDP (current US$),0.31705850865176,trillion
China,GDP (current US$),17.7340626453714,trillion
Cote d'Ivoire,GDP (current US$),0.06976482746744231,trillion
Cameroon,GDP (current US$),0.045238613479830804,trillion
"Congo, Dem. Rep.",GDP (current US$),0.0539585736930513,trillion
"Congo, Rep.",GDP (current US$),0.012523961677296601,trillion
Colombia,GDP (current US$),0.314322453228295,trillion
Comoros,GDP (current US$),0.0013279642493264898,trillion
Cabo Verde,GDP (current US$),0.00193617404345293,trillion
Costa Rica,GDP (current US$),0.064282438666739,trillion
Cuba,GDP (current US$),,trillion
Curacao,GDP (current US$),,trillion
Cayman Islands,GDP (current US$),,trillion
Cyprus,GDP (current US$),0.0277193376700177,trillion
Czechia,GDP (current US$),0.282340849856614,trillion
Germany,GDP (current US$),4.22311620596892,trillion
Djibouti,GDP (current US$),0.00337110212351343,trillion
Dominica,GDP (current US$),0.0005456185185185179,trillion
Denmark,GDP (current US$),0.39710434347830104,trillion
Dominican Republic,GDP (current US$),0.0942434539374462,trillion
Algeria,GDP (current US$),0.167983141738311,trillion
Ecuador,GDP (current US$),0.106165866,trillion
"Egypt, Arab Rep.",GDP (current US$),0.404142766093053,trillion
Eritrea,GDP (current US$),,trillion
Spain,GDP (current US$),1.42527658628292,trillion
Estonia,GDP (current US$),0.036262924353604106,trillion
Ethiopia,GDP (current US$),0.11127111232997501,trillion
Finland,GDP (current US$),0.29915523758914203,trillion
Fiji,GDP (current US$),0.00459211870955279,trillion
France,GDP (current US$),2.93747275795344,trillion
Faroe Islands,GDP (current US$),,trillion
"Micronesia, Fed. Sts.",GDP (current US$),0.000404178049753978,trillion
Gabon,GDP (current US$),0.018269350433799198,trillion
United Kingdom,GDP (current US$),3.18685973918502,trillion
Georgia,GDP (current US$),0.0187002413921575,trillion
Ghana,GDP (current US$),0.0775942790548795,trillion
Guinea,GDP (current US$),0.0158505203839941,trillion
"Gambia, The",GDP (current US$),0.00207807068354686,trillion
Guinea-Bissau,GDP (current US$),0.00163851753316504,trillion
Equatorial Guinea,GDP (current US$),0.0122693927887402,trillion
Greece,GDP (current US$),0.216240589485256,trillion
Grenada,GDP (current US$),0.00112208318518519,trillion
Greenland,GDP (current US$),,trillion
Guatemala,GDP (current US$),0.0859863215512388,trillion
Guam,GDP (current US$),,trillion
Guyana,GDP (current US$),0.00740917992086331,trillion
Honduras,GDP (current US$),0.0284886683016401,trillion
Croatia,GDP (current US$),0.0678377885435852,trillion
Haiti,GDP (current US$),0.0209443926150803,trillion
Hungary,GDP (current US$),0.182280517581212,trillion
