country,indicator,value,scale,year,region
Aruba,"Life expectancy at birth, total (years)",76.434,years,2020,Latin America & Caribbean 
Afghanistan,"Life expectancy at birth, total (years)",65.173,years,2020,South Asia
Angola,"Life expectancy at birth, total (years)",61.487,years,2020,Sub-Saharan Africa 
Albania,"Life expectancy at birth, total (years)",78.686,years,2020,Europe & Central Asia
Andorra,"Life expectancy at birth, total (years)",,years,2020,Europe & Central Asia
United Arab Emirates,"Life expectancy at birth, total (years)",78.12,years,2020,Middle East & North Africa
Argentina,"Life expectancy at birth, total (years)",76.813,years,2020,Latin America & Caribbean 
Armenia,"Life expectancy at birth, total (years)",75.224,years,2020,Europe & Central Asia
American Samoa,"Life expectancy at birth, total (years)",,years,2020,East Asia & Pacific
Antigua and Barbuda,"Life expectancy at birth, total (years)",77.146,years,2020,Latin America & Caribbean 
Australia,"Life expectancy at birth, total (years)",83.2,years,2020,East Asia & Pacific
Austria,"Life expectancy at birth, total (years)",81.1926829268293,years,2020,Europe & Central Asia
Azerbaijan,"Life expectancy at birth, total (years)",73.123,years,2020,Europe & Central Asia
Burundi,"Life expectancy at birth, total (years)",61.916,years,2020,Sub-Saharan Africa 
Belgium,"Life expectancy at birth, total (years)",80.7951219512195,years,2020,Europe & Central Asia
Benin,"Life expectancy at birth, total (years)",62.077,years,2020,Sub-Saharan Africa 
Burkina Faso,"Life expectancy at birth, total (years)",61.981,years,2020,Sub-Saharan Africa 
Bangladesh,"Life expectancy at birth, total (years)",72.868,years,2020,South Asia
Bulgaria,"Life expectancy at birth, total (years)",73.6073170731707,years,2020,Europe & Central Asia
Bahrain,"Life expectancy at birth, total (years)",77.419,years,2020,Middle East & North Africa
"Bahamas, The","Life expectancy at birth, total (years)",74.053,years,2020,Latin America & Caribbean 
Bosnia and Herzegovina,"Life expectancy at birth, total (years)",77.545,years,2020,Europe & Central Asia
Belarus,"Life expectancy at birth, total (years)",74.2268292682927,years,2020,Europe & Central Asia
Belize,"Life expectancy at birth, total (years)",74.754,years,2020,Latin America & Caribbean 
Bermuda,"Life expectancy at birth, total (years)",82.0560975609756,years,2020,North America
Bolivia,"Life expectancy at birth, total (years)",71.771,years,2020,Latin America & Caribbean 
Brazil,"Life expectancy at birth, total (years)",76.084,years,2020,Latin America & Caribbean 
Barbados,"Life expectancy at birth, total (years)",79.308,years,2020,Latin America & Caribbean 
Brunei Darussalam,"Life expectancy at birth, total (years)",75.998,years,2020,East Asia & Pacific
Bhutan,"Life expectancy at birth, total (years)",72.08,years,2020,South Asia
Botswana,"Life expectancy at birth, total (years)",69.793,years,2020,Sub-Saharan Africa 
Central African Republic,"Life expectancy at birth, total (years)",53.679,years,2020,Sub-Saharan Africa 
Canada,"Life expectancy at birth, total (years)",81.7487804878049,years,2020,North America
Switzerland,"Life expectancy at birth, total (years)",83.1,years,2020,Europe & Central Asia
Chile,"Life expectancy at birth, total (years)",80.329,years,2020,Latin America & Caribbean 
China,"Life expectancy at birth, total (years)",77.097,years,2020,East Asia & Pacific
Cote d'Ivoire,"Life expectancy at birth, total (years)",58.104,years,2020,Sub-Saharan Africa 
Cameroon,"Life expectancy at birth, total (years)",59.626,years,2020,Sub-Saharan Africa 
"Congo, Dem. Rep.","Life expectancy at birth, total (years)",60.971,years,2020,Sub-Saharan Africa 
"Congo, Rep.","Life expectancy at birth, total (years)",64.804,years,2020,Sub-Saharan Africa 
Colombia,"Life expectancy at birth, total (years)",77.46,years,2020,Latin America & Caribbean 
Comoros,"Life expectancy at birth, total (years)",64.525,years,2020,Sub-Saharan Africa 
Cabo Verde,"Life expectancy at birth, total (years)",73.166,years,2020,Sub-Saharan Africa 
Costa Rica,"Life expectancy at birth, total (years)",80.465,years,2020,Latin America & Caribbean 
Cuba,"Life expectancy at birth, total (years)",78.892,years,2020,Latin America & Caribbean 
Curacao,"Life expectancy at birth, total (years)",,years,2020,Latin America & Caribbean 
Cayman Islands,"Life expectancy at birth, total (years)",,years,2020,Latin America & Caribbean 
Cyprus,"Life expectancy at birth, total (years)",81.135,years,2020,Europe & Central Asia
Czechia,"Life expectancy at birth, total (years)",78.2268292682927,years,2020,Europe & Central Asia
Germany,"Life expectancy at birth, total (years)",80.9414634146342,years,2020,Europe & Central Asia
Djibouti,"Life expectancy at birth, total (years)",67.49,years,2020,Middle East & North Africa
Dominica,"Life expectancy at birth, total (years)",,years,2020,Latin America & Caribbean 
Denmark,"Life expectancy at birth, total (years)",81.5512195121951,years,2020,Europe & Central Asia
Dominican Republic,"Life expectancy at birth, total (years)",74.257,years,2020,Latin America & Caribbean 
Algeria,"Life expectancy at birth, total (years)",77.063,years,2020,Middle East & North Africa
Ecuador,"Life expectancy at birth, total (years)",77.216,years,2020,Latin America & Caribbean 
"Egypt, Arab Rep.","Life expectancy at birth, total (years)",72.15,years,2020,Middle East & North Africa
Eritrea,"Life expectancy at birth, total (years)",66.679,years,2020,Sub-Saharan Africa 
Spain,"Life expectancy at birth, total (years)",82.3341463414634,years,2020,Europe & Central Asia
Estonia,"Life expectancy at birth, total (years)",78.3463414634146,years,2020,Europe & Central Asia
Ethiopia,"Life expectancy at birth, total (years)",66.953,years,2020,Sub-Saharan Africa 
Finland,"Life expectancy at birth, total (years)",82.1317073170732,years,2020,Europe & Central Asia
