country,indicator,value,scale,year,region
Aruba,"Population, total",0.106766,million,2020,Latin America & Caribbean 
Afghanistan,"Population, total",38.928341,million,2020,South Asia
Angola,"Population, total",32.866268,million,2020,Sub-Saharan Africa 
Albania,"Population, total",2.837849,million,2020,Europe & Central Asia
Andorra,"Population, total",0.077265,million,2020,Europe & Central Asia
United Arab Emirates,"Population, total",9.8904,million,2020,Middle East & North Africa
Argentina,"Population, total",45.376763,million,2020,Latin America & Caribbean 
Armenia,"Population, total",2.963234,million,2020,Europe & Central Asia
American Samoa,"Population, total",0.055197,million,2020,East Asia & Pacific
Antigua and Barbuda,"Population, total",0.097928,million,2020,Latin America & Caribbean 
Australia,"Population, total",25.693267,million,2020,East Asia & Pacific
Austria,"Population, total",8.916864,million,2020,Europe & Central Asia
Azerbaijan,"Population, total",10.093121,million,2020,Europe & Central Asia
Burundi,"Population, total",11.890781,million,2020,Sub-Saharan Africa 
Belgium,"Population, total",11.544241,million,2020,Europe & Central Asia
Benin,"Population, total",12.123198,million,2020,Sub-Saharan Africa 
Burkina Faso,"Population, total",20.903278,million,2020,Sub-Saharan Africa 
Bangladesh,"Population, total",164.689383,million,2020,South Asia
Bulgaria,"Population, total",6.934015,million,2020,Europe & Central Asia
Bahrain,"Population, total",1.701583,million,2020,Middle East & North Africa
"Bahamas, The","Population, total",0.393248,million,2020,Latin America & Caribbean 
Bosnia and Herzegovina,"Population, total",3.280815,million,2020,Europe & Central Asia
Belarus,"Population, total",9.379952,million,2020,Europe & Central Asia
Belize,"Population, total",0.397621,million,2020,Latin America & Caribbean 
Bermuda,"Population, total",0.063893,million,2020,North America
Bolivia,"Population, total",11.673029,million,2020,Latin America & Caribbean 
Brazil,"Population, total",212.559409,million,2020,Latin America & Caribbean 
Barbados,"Population, total",0.287371,million,2020,Latin America & Caribbean 
Brunei Darussalam,"Population, total",0.437483,million,2020,East Asia & Pacific
Bhutan,"Population, total",0.771612,million,2020,South Asia
Botswana,"Population, total",2.351625,million,2020,Sub-Saharan Africa 
Central African Republic,"Population, total",4.829764,million,2020,Sub-Saharan Africa 
Canada,"Population, total",38.037204,million,2020,North America
Switzerland,"Population, total",8.636561,million,2020,Europe & Central Asia
Chile,"Population, total",19.116209,million,2020,Latin America & Caribbean 
China,"Population, total",1411.1,million,2020,East Asia & Pacific
Cote d'Ivoire,"Population, total",26.378275,million,2020,Sub-Saharan Africa 
Cameroon,"Population, total",26.545864,million,2020,Sub-Saharan Africa 
"Congo, Dem. Rep.","Population, total",89.561404,million,2020,Sub-Saharan Africa 
