Topic,Topic description,General subject,General subject description,Specific subject,Specific subject description,Extensions,Extensions description
AG,Agriculture,ACS,Access,0003,Age 0-3,05,2005 (PPP)
BG,Balance of payments: gross,ADJ,Adjusted savings,0004,Age 0-4,10,Decile
BM,"Balance of payments: imports, payments (credit)",ADM,Admission,0014,Age 0-14,14,Age 0-14
BN,Balance of payments: net,ADO,Adolescent,0324,Age 0-24,20,Quintile
BX,"Balance of payments: exports, receipts (debit)",ADT,Adult,0306,Age 3-6,90,% changes since 1990
CM,Capital markets,AGR,Agriculture,0509,Age 5-9,5Y,5 years
DC,Debt: aid flows from DAC,AID,Aid,0714,Age 7-14,AG,Agricultural
DT,Debt: external,AIR,Air transport,1014,Age 10-14,AD,Adjusted (or adult)
EA,Environment: agriculture,ALC,Alcohol,1519,Age 15-19,AL,Arab Leagues States
EE,Environment: emissions,AMA,Principal adjustments,1524,Age 15-24,AR,Applied rate
EG,Environment: energy,AMD,Principal due,1564,Age 15-64,AS,Assets
EN,Environment: general,AMN,Principal due on new debt,2024,Age 20-24,BA,Bachelor's or equivalent degree
EP,Environment: prices,AMP,Amphibian,2529,Age 25-29,BC,Binding coverage
ER,Environment: resources,AMR,Principal due on arrears/restructurings per DDSR,2549,Age 24-49,BM,Imports (BOP)
FA,Financial: monetary authorities,AMT,Amortization,3034,Age 30-34,BR,Bound rate
FB,Financial: bank (miscellaneous),ANM,Anemia (or animal),3539,Age 35-39,BX,Exports (BOP)
FD,Financial: deposit money banks,ANN,Annual,4044,Age 40-44,C3,Children under age 3
FI,Financial: international liquidity,ARA,Principal arrears reductions/prepayments,4549,Age 45-49,CB,Commercial banks
FM,Financial: monetary survey,ASC,Asset period change,5054,Age 50-54,CD,Current US$
FO,Financial: other banking institutions,ASD,Principal saved through DDSR,5559,Age 55-59,CE,CO2 equivalent
FP,Financial: prices,AST,Asset,6064,Age 60-64,CG,Change
FR,Financial: interest rates,ATM,Atmosphere (or automated teller machine),6569,Age 65-69,CL,Alternative (clean) energy
FS,Financial: banking survey,AXA,Principal arrears,7074,Age 70-74,CN,Current local currency units
GB,Government finance: other sources,AXF,Principal forgiven,7579,Age 75-79,CO,Cooperatives
GC,Government finance: IMF,AXP,Principal not paid,2431,Migrants transfers: receipts (BOP line number),CP,Corporate profit
GF,Public financial management,AXR,Principal rescheduled,3431,Migrants transfers: payments (BOP line number),DH,Deaths
IC,Investment climate,BAL,Balance,01ST,First,DO,Doctoral or equivalent degree
IE,Infrastructure: expenditure,BBD,Broadband,02ND,Second,DP,Real deposit interest rate
IP,Intellectual property,BDV,Biodiversity,03RD,Third,DT,Data from Debtor reporting system or GDF
IQ,Index quality assessment,BIR,Bird,04TH,Fourth,DV,Developing
IS,Infrastructure: transportation,BNK,Bank,05TH,Fifth (highest) quintile,DY,Days
IT,Infrastructure: telecommunications,BOD,Biochemical oxygen demand,10TH,Highest decile,EC,Education
LP,Logistics performance,BRT,Births,25DAY,$2.50 a day,ED,Education
MG,Millennium Development Goals,BTI,Bertelsmann transformation Index,25UP,Age 25 and above,EG,Oil equivalent energy use (or energy)
MS,Military statistics,BTL,Battle,2CYL,Two-wheeler,EI,Energy and industrial
NE,National accounts: expenditure,BUS,Business,2DAY,$2 a day,EM,Employed
NV,National accounts: value added,CAB,Current account balance,3COM,Top 3 commodities,EN,Engineering
NY,National accounts: income,CAP,Capital,3MIN,3 minutes,EP,Equivalent position
